Country,Year,Status,War,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,Developing,1,65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,1,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10
Afghanistan,2013,Developing,1,59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,1,59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,669.959,3696958,17.9,18,0.463,9.8
Afghanistan,2011,Developing,1,59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,1,58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,1,58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,1,58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,1,57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792,19,19.1,0.415,8.4
Afghanistan,2006,Developing,1,57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,1,57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,1,57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,1,56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,1,56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,187.84595,21979923,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,0,55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,0,54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,293756,2.3,2.5,0.338,5.5
Iraq,2015,Developing,1,68.9,182,32,,0,56,1433,59.1,38,63,,58,0.1,4974.2693,36115649,5.3,5.1,0.649,10.1
Iraq,2014,Developing,1,67.9,199,32,0.01,43.5240801,62,1317,58.5,39,67,5.54,64,0.1,673.74737,3568,5.3,5.1,0.658,10.1
Iraq,2013,Developing,1,69.5,17,32,0.01,447.3695001,66,669,57.8,39,7,5.92,68,0.1,6925.22446,33883145,5.3,5.1,0.659,10.3
Iraq,2012,Developing,1,76,147,32,0.01,429.6625083,61,15,57.2,39,7,5.26,69,0.1,6651.12242,32776571,5.3,5.1,0.656,10.5
Iraq,2011,Developing,1,77,144,32,0.17,285.119726,77,15,56.5,39,8,3.32,79,0.1,5854.614497,3172753,5.3,5.1,0.649,10.4
Iraq,2010,Developing,1,76,145,32,0.19,21.82252494,72,492,55.8,39,74,3.82,74,0.1,452.74948,376271,5.3,5.1,0.646,10.4
Iraq,2009,Developing,1,74,148,32,0.2,185.6366983,75,30328,55.2,39,78,4.65,78,0.1,3735.144836,29894652,5.4,5.1,0.643,10.3
Iraq,2008,Developing,1,69.3,167,32,0.17,192.1562998,66,5494,54.5,38,71,3.93,69,0.1,4521.3247,29111417,5.4,5.1,0.638,10.3
Iraq,2007,Developing,1,65.9,227,31,0.14,146.7606488,56,230,53.8,38,74,3.69,57,0.1,3129.224922,2839433,5.4,5.1,0.636,10.2
Iraq,2006,Developing,1,64.7,249,31,0.03,75.25799773,59,474,53.2,38,63,3,59,0.1,2351.812429,27697912,5.4,5.1,0.631,10.2
Iraq,2005,Developing,1,66.8,29,31,0.18,59.18845152,65,908,52.5,37,69,4.13,65,0.1,1849.63911,278426,5.4,5.2,0.628,10.1
Iraq,2004,Developing,1,67.2,21,30,0.32,44.12059646,62,9081,51.9,37,69,5.61,74,0.1,1391.816923,2631669,5.4,5.2,0.603,9.8
Iraq,2003,Developing,0,66.5,213,30,0.07,0,63,0,51.3,37,73,4.36,75,0.1,,25627626,5.5,5.2,0.616,9.4
Iraq,2002,Developing,0,74,14,30,0.15,0,65,0,5.6,37,76,,77,0.1,,24939299,5.5,5.3,0.614,9.1
Iraq,2001,Developing,0,72,142,30,0.17,0,66,4088,5.1,37,8,,78,0.1,,24251649,5.6,5.3,0.607,8.7
Iraq,2000,Developing,0,70,144,30,0.2,0,67,726,49.5,37,83,,8,0.1,,23565413,5.6,5.4,0.603,8.6
